Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
Chopra-Rege Pvt Ltd,Consumer Durables,"Meghalaya, India",$50M to $100M,Active,2017,—,Consumer Goods,3,"Chakradhar Borah, Raghav Thaman, Netra Ramachandran",1001-5000,0,—,$100K to $500K,—,Medium,1048360,836.8126259607848,207.8421355827378,9,2394
"Pingle, Gaba and Grewal Innovations",Manufacturing,"Maharashtra, India",$1M to $10M,Closed,2021,—,Manufacturing,4,"Amara Raj, Rohan Varghese, Gaurangi Sule, Oscar Kamdar",1-10,0,—,—,—,Low,2096,-32.05268007558331,1392.2633884880586,5,606
"Shetty, Nori and Bansal Pvt Ltd",Gems and Jewellery,"Jammu and Kashmir, India",$50M to $100M,Active,2020,Series C,Luxury Goods,1,Zinal Gade,101-250,7,M&A,$1M to $5M,High,Low,285085,1201.7737816615704,2332.6033332465704,8,775
Maharaj-Singhal Innovations,Ports,"Kerala, India",$10B+,Active,2017,—,Transportation,2,"Pavani Mukhopadhyay, Abeer Thaman",1001-5000,6,Early Stage Venture,$50M to $100M,—,Low,840667,1141.60290183093,2467.0931121168246,4,1609
"Golla, Bhasin and Tailor Solutions",Insurance,"Tamil Nadu, India",Less than $1M,Active,2021,—,Financial Services,4,"Madhav Grewal, Dipta Rajagopal, Bahadurjit Khatri, Dominic Master",501-1000,7,Early Stage Venture,$10M to $50M,Medium,Low,1693615,113.47663261555914,7692.013167360302,9,1285
Minhas Ltd Pvt Ltd,FMCG,"Telangana, India",$1M to $10M,Closed,2022,—,Consumer Goods,4,"Upma Contractor, Amrita Bal, Tanish Yogi, Advaith Khare",1-10,0,—,$0,Growing,—,17397,-27.46970811358463,6356.888537454276,9,297
Minhas-Gala Innovations,Auto Components,"Assam, India",$10B+,Active,2024,Seed,Automotive,5,"Amara Goyal, Keya Jhaveri, Sanya Prashad, Anmol Chandra, Gabriel Borah",251-500,5,—,$50M to $100M,Growing,High,495989,1302.5502710789326,4901.1534664869705,7,1032
"Maharaj, Gaba and Mangat Innovations",Engineering and Capital Goods,"Assam, India",$10M to $50M,Closed,2021,Series C,Engineering,2,"Upadhriti Luthra, Bakhshi Shanker",11-50,3,M&A,$0,Growing,—,1348,47.49402578451631,4401.946689385052,4,202
"Kumar, Chakrabarti and Varghese Solutions",Auto Components,"Punjab, India",$1B to $10B,Active,2024,Series C,Automotive,1,Brinda Sahni,501-1000,2,—,$1M to $5M,High,Medium,453445,83.10865318616021,8886.373413572252,3,116
"Boase, Morar and Saha Pvt Ltd",Metals and Mining,"Maharashtra, India",$10M to $50M,Active,2017,Seed,Mining,5,"Avni Chandra, Alka Bhargava, Unni Kalita, Maanas Bala, Oliver Mani",101-250,6,Seed,$10M to $50M,—,High,865232,1834.859785506761,4034.2413352638523,1,644
Date Group Labs,FMCG,"Andhra Pradesh, India",$10M to $50M,Closed,2020,—,Consumer Goods,2,"Tamanna Samra, Gautami Kurian",51-100,0,—,$0,Medium,—,36027,-72.45114566685805,1924.3426642868244,3,1009
Srinivasan-Korpal Innovations,Tourism and Hospitality,"Karnataka, India",$50M to $100M,Active,2021,Series C,Hospitality,0,—,11-50,7,Growing,$100K to $500K,High,High,271862,12.923860546617973,2367.9053968203075,8,160
Jha-Chaudry Pvt Ltd,Science and Technology,"Punjab, India",$10M to $50M,Closed,2022,Series A,Technology,1,Isaiah Ramanathan,51-100,2,Growing,$0,Growing,Low,32389,10.055855780171285,8733.15542817371,10,1667
Sane PLC Labs,Auto Components,"West Bengal, India",$1M to $10M,Active,2024,Series C,Automotive,0,—,51-100,2,—,$5M to $10M,Medium,Medium,1289689,1442.864035876627,-21.96842884929636,7,533
"Sane, Chand and Srinivas Technologies",Ports,"Meghalaya, India",Less than $1M,Closed,2018,Series A,Transportation,0,—,11-50,2,Early Stage Venture,$0,Growing,Low,3329,-4.408966158887651,8887.100866007742,3,1291
Sane-Wagle Pvt Ltd,Metals and Mining,"Meghalaya, India",Less than $1M,Active,2017,Series B,Mining,5,"Michael Krishnan, Yamini Nagar, Michael Sani, Vanya Kannan, Lohit Agate",501-1000,3,Seed,$1M to $5M,High,Low,1670640,234.73953041991632,3287.314390300138,10,1041
"Dani, Ram and Babu Solutions",Pharmaceuticals,"West Bengal, India",Less than $1M,Active,2023,IPO,Pharmaceuticals,5,"Adweta Nagar, Falan Sharaf, Abhiram Tiwari, Yashodhara Sunder, Vedika Borde",1001-5000,7,Early Stage Venture,$5M to $10M,Growing,—,1905930,909.5887411232607,5444.226604284106,5,1110
Purohit-Sehgal Labs,Telecommunications,"Kerala, India",$100M to $500M,Active,2021,Series B,Telecommunications,1,Baghyawati Borde,1001-5000,6,M&A,—,—,High,1051560,1662.8380197947672,3691.348618213848,4,1713
"Raja, Oza and Chatterjee Technologies",Food Processing,"Assam, India",$100M to $500M,Active,2024,—,Food and Beverage,5,"Divya Gour, Qadim Wason, Karan Manda, Tanveer Vala, Viraj Chaudhary",251-500,1,—,$5M to $10M,—,High,772299,-94.56162924957488,3833.809162588626,0,1542
Desai-Mander Pvt Ltd,Insurance,"Nagaland, India",Less than $1M,Closed,2020,—,Financial Services,2,"Indali Mistry, Radha Wason",1-10,0,—,$0,Medium,Low,194,-3.173252448725137,6296.048039944931,9,820
Talwar Inc Technologies,Paper & Packaging,"Bihar, India",Less than $1M,Active,2017,—,Packaging,4,"Darsh Lall, Baghyawati Konda, Widisha Narang, Pranit Parikh",101-250,3,Seed,$1M to $5M,High,Low,984825,1797.57718524577,3611.2165653794827,9,1304
Ray-Mitra Technologies,Roads,"Punjab, India",Less than $1M,Active,2019,Series C,Infrastructure,2,"Tanay Nigam, Zarna Pandya",1001-5000,2,Seed,$50M to $100M,High,Medium,919535,815.787568672599,3190.551259255985,10,1352
Nath Group Innovations,Medical Devices,"Manipur, India",$10M to $50M,Active,2018,—,Healthcare,5,"Darpan Aurora, Nilima Mukhopadhyay, Max Nagi, Hredhaan Ben, Jairaj Deo",11-50,1,Seed,$100M to $500M,High,High,774018,618.8478681701226,630.0180760230559,0,1408
Minhas Group Solutions,Renewable Energy,"Jammu and Kashmir, India",$10B+,Active,2021,—,Energy,1,Aryan Ravel,1001-5000,0,—,$500K to $1M,Growing,Medium,1405230,1758.0277515170187,5515.0326282514125,2,575
"Sachar, Nagarajan and Viswanathan Labs",Consumer Durables,"Meghalaya, India",$10M to $50M,Active,2017,Series A,Consumer Goods,2,"Chatura Grover, Aadi Dasgupta",1001-5000,2,M&A,—,Growing,Medium,1220088,-7.381177467694215,9150.517122704601,4,1620
Jaggi-Sahni Labs,Food Processing,"Chhattisgarh, India",$1M to $10M,Active,2020,—,Food and Beverage,4,"Saksham Borah, Vihaan Narayanan, Vincent Behl, Ekiya Chaudry",251-500,5,Growing,$5M to $10M,High,Low,579317,1685.9023180958352,4445.35521410108,0,58
Murty Inc Pvt Ltd,Consumer Durables,"West Bengal, India",$1B to $10B,Active,2021,IPO,Consumer Goods,4,"Darika Sani, Bhavini Khatri, Aahana Deep, Geetika Bhatia",11-50,6,Early Stage Venture,$50M to $100M,Medium,Low,1586766,145.2418228970584,7575.328421246954,0,1656
"Narayanan, Dasgupta and Manda Innovations",MSME,"Meghalaya, India",Less than $1M,Active,2023,Seed,Small Business,4,"Hitesh Talwar, Ijaya Kaur, Bahadurjit Sridhar, Yug Pradhan",1-10,2,Growing,$5M to $10M,Growing,High,533310,1993.462098358828,3434.401886516474,10,2305
"Nanda, Chhabra and Natarajan Technologies",Manufacturing,"Bihar, India",Less than $1M,Active,2022,IPO,Manufacturing,1,Lavanya Reddy,501-1000,1,M&A,$5M to $10M,—,High,1738651,344.83550493366437,5216.031895958297,4,1212
Madan PLC Pvt Ltd,Gems and Jewellery,"Andhra Pradesh, India",$10B+,Active,2019,Series A,Luxury Goods,3,"Vasatika Sarkar, Pallavi Nagy, Hiral Narayan",101-250,3,M&A,$100K to $500K,Medium,—,1960429,1614.4292448178405,1445.4682320082823,7,1554
Nigam LLC Pvt Ltd,Consumer Durables,"Tamil Nadu, India",Less than $1M,Closed,2019,IPO,Consumer Goods,0,—,11-50,3,Growing,$0,Medium,Low,5252,-21.306245990126754,3938.6943923701097,6,1538
Swaminathan-Majumdar Labs,Roads,"Jammu and Kashmir, India",$10M to $50M,Active,2021,Series C,Infrastructure,1,Siddharth Hegde,51-100,4,Growing,$100K to $500K,Medium,—,504415,135.55884616257765,1462.9060257812532,10,1131
Chad and Sons Labs,Consumer Durables,"Tamil Nadu, India",Less than $1M,Closed,2022,—,Consumer Goods,5,"Hemani Iyer, Alexander Jha, Panini Gola, Max Krishna, Amruta Anand",11-50,0,—,$0,—,Low,602,-3.104475342246616,828.5219704789235,4,2300
Kata PLC Technologies,Consumer Durables,"Nagaland, India",$100M to $500M,Active,2017,—,Consumer Goods,3,"Azad Gour, Nicholas Issac, Veer Tandon",101-250,2,Early Stage Venture,$100K to $500K,—,High,1952365,505.19154789182016,3724.256573562137,9,964
"Patel, Balay and Kalla Technologies",Biotechnology,"Jharkhand, India",Less than $1M,Active,2022,Seed,Biotechnology,1,Shravya Deshpande,11-50,3,Seed,$10M to $50M,Growing,Low,1633803,185.60585715020028,232.10391328682545,3,763
"Mital, Mannan and Randhawa Innovations",Chemicals,"Tripura, India",$1M to $10M,Closed,2019,Series B,Chemicals,0,—,1-10,3,Seed,$500K to $1M,Growing,—,32978,-22.635254634511085,2541.372490196284,9,2386
"Ramesh, Hegde and Patil Labs",Ayush,"Nagaland, India",Less than $1M,Active,2021,—,Healthcare,4,"Bahadurjit Parmar, Warinder Sarma, Manthan Sandal, Diya Kurian",251-500,7,Seed,$100M to $500M,Medium,Low,985715,1016.2742686177332,8509.371190412869,0,1876
"Walla, Tandon and Jaggi Technologies",Retail,"Mizoram, India",$10B+,Active,2021,—,Commerce,5,"Tanmayi Sidhu, Luke Tella, Janya Talwar, Wishi Sankar, Bhavika Rout",1-10,0,—,$500K to $1M,Growing,—,833819,1160.2043840668402,5191.03812220061,0,519
Subramaniam PLC Labs,Engineering and Capital Goods,"Jammu and Kashmir, India",$10B+,Active,2019,Seed,Engineering,0,—,51-100,2,—,$1M to $5M,—,Medium,1702854,242.42591403612448,9106.303610079407,0,640
Kota Inc Solutions,Consumer Durables,"Tamil Nadu, India",$50M to $100M,Active,2017,Series C,Consumer Goods,5,"Veda Cherian, Rachit Chowdhury, Upma Sidhu, Warda Butala, Yahvi Narayan",51-100,5,Early Stage Venture,$10M to $50M,—,—,1999596,180.0727300567513,6707.037723911102,3,1228
Narang-Chahal Pvt Ltd,Chemicals,"Sikkim, India",Less than $1M,Closed,2023,Series B,Chemicals,1,Radha Raman,1-10,1,M&A,$100K to $500K,—,Medium,34417,-4.55450558748376,2326.83042623487,6,1785
"Basak, Zacharia and Chand Technologies",Agriculture and Allied Industries,"Kerala, India",Less than $1M,Active,2023,—,Agriculture,3,"Alka Chana, Guneet Sethi, Lohit Yogi",11-50,0,—,$0,—,High,1558822,1310.0934101744863,1888.7244411053396,3,474
Modi-Dutta Pvt Ltd,Textiles,"Andhra Pradesh, India",$1M to $10M,Closed,2018,Series C,Textiles,4,"Triveni Hayer, Harinakshi Ahuja, Akshay Pandya, Tristan Shenoy",11-50,3,M&A,—,Medium,Low,9758,-81.60941151304006,5934.005638280711,0,1955
